name;polygon
s23_e035_1arc_v3.se;POLYGON((35.5 -23.000138888888888,35.5 -22.5,36.000138888888884 -22.5,36.000138888888884 -23.000138888888888,35.5 -23.000138888888888))
s23_e035_1arc_v3.ne;POLYGON((35.5 -22.5,35.5 -21.99986111111111,36.000138888888884 -21.99986111111111,36.000138888888884 -22.5,35.5 -22.5))
s23_e040_1arc_v3.sw;POLYGON((39.99986111111111 -23.000138888888888,39.99986111111111 -22.5,40.5 -22.5,40.5 -23.000138888888888,39.99986111111111 -23.000138888888888))
s23_e040_1arc_v3.nw;POLYGON((39.99986111111111 -22.5,39.99986111111111 -21.99986111111111,40.5 -21.99986111111111,40.5 -22.5,39.99986111111111 -22.5))
s23_e040_1arc_v3.se;POLYGON((40.5 -23.000138888888888,40.5 -22.5,41.000138888888884 -22.5,41.000138888888884 -23.000138888888888,40.5 -23.000138888888888))
s23_e040_1arc_v3.ne;POLYGON((40.5 -22.5,40.5 -21.99986111111111,41.000138888888884 -21.99986111111111,41.000138888888884 -22.5,40.5 -22.5))
s24_e014_1arc_v3.sw;POLYGON((13.99986111111111 -24.000138888888888,13.99986111111111 -23.5,14.5 -23.5,14.5 -24.000138888888888,13.99986111111111 -24.000138888888888))
s24_e014_1arc_v3.nw;POLYGON((13.99986111111111 -23.5,13.99986111111111 -22.99986111111111,14.5 -22.99986111111111,14.5 -23.5,13.99986111111111 -23.5))
s24_e014_1arc_v3.se;POLYGON((14.5 -24.000138888888888,14.5 -23.5,15.000138888888888 -23.5,15.000138888888888 -24.000138888888888,14.5 -24.000138888888888))
s24_e014_1arc_v3.ne;POLYGON((14.5 -23.5,14.5 -22.99986111111111,15.000138888888888 -22.99986111111111,15.000138888888888 -23.5,14.5 -23.5))
s24_e015_1arc_v3.sw;POLYGON((14.99986111111111 -24.000138888888888,14.99986111111111 -23.5,15.5 -23.5,15.5 -24.000138888888888,14.99986111111111 -24.000138888888888))
s24_e015_1arc_v3.nw;POLYGON((14.99986111111111 -23.5,14.99986111111111 -22.99986111111111,15.5 -22.99986111111111,15.5 -23.5,14.99986111111111 -23.5))
s24_e015_1arc_v3.se;POLYGON((15.5 -24.000138888888888,15.5 -23.5,16.000138888888888 -23.5,16.000138888888888 -24.000138888888888,15.5 -24.000138888888888))
s24_e015_1arc_v3.ne;POLYGON((15.5 -23.5,15.5 -22.99986111111111,16.000138888888888 -22.99986111111111,16.000138888888888 -23.5,15.5 -23.5))
s24_e016_1arc_v3.sw;POLYGON((15.99986111111111 -24.000138888888888,15.99986111111111 -23.5,16.5 -23.5,16.5 -24.000138888888888,15.99986111111111 -24.000138888888888))
s24_e016_1arc_v3.nw;POLYGON((15.99986111111111 -23.5,15.99986111111111 -22.99986111111111,16.5 -22.99986111111111,16.5 -23.5,15.99986111111111 -23.5))
s24_e016_1arc_v3.se;POLYGON((16.5 -24.000138888888888,16.5 -23.5,17.000138888888888 -23.5,17.000138888888888 -24.000138888888888,16.5 -24.000138888888888))
s24_e016_1arc_v3.ne;POLYGON((16.5 -23.5,16.5 -22.99986111111111,17.000138888888888 -22.99986111111111,17.000138888888888 -23.5,16.5 -23.5))
s24_e017_1arc_v3.sw;POLYGON((16.99986111111111 -24.000138888888888,16.99986111111111 -23.5,17.5 -23.5,17.5 -24.000138888888888,16.99986111111111 -24.000138888888888))
s24_e017_1arc_v3.nw;POLYGON((16.99986111111111 -23.5,16.99986111111111 -22.99986111111111,17.5 -22.99986111111111,17.5 -23.5,16.99986111111111 -23.5))
s24_e017_1arc_v3.se;POLYGON((17.5 -24.000138888888888,17.5 -23.5,18.000138888888888 -23.5,18.000138888888888 -24.000138888888888,17.5 -24.000138888888888))
s24_e017_1arc_v3.ne;POLYGON((17.5 -23.5,17.5 -22.99986111111111,18.000138888888888 -22.99986111111111,18.000138888888888 -23.5,17.5 -23.5))
s24_e018_1arc_v3.sw;POLYGON((17.99986111111111 -24.000138888888888,17.99986111111111 -23.5,18.5 -23.5,18.5 -24.000138888888888,17.99986111111111 -24.000138888888888))
s24_e018_1arc_v3.nw;POLYGON((17.99986111111111 -23.5,17.99986111111111 -22.99986111111111,18.5 -22.99986111111111,18.5 -23.5,17.99986111111111 -23.5))
s24_e018_1arc_v3.se;POLYGON((18.5 -24.000138888888888,18.5 -23.5,19.000138888888888 -23.5,19.000138888888888 -24.000138888888888,18.5 -24.000138888888888))
s24_e018_1arc_v3.ne;POLYGON((18.5 -23.5,18.5 -22.99986111111111,19.000138888888888 -22.99986111111111,19.000138888888888 -23.5,18.5 -23.5))
s24_e019_1arc_v3.sw;POLYGON((18.99986111111111 -24.000138888888888,18.99986111111111 -23.5,19.5 -23.5,19.5 -24.000138888888888,18.99986111111111 -24.000138888888888))
s24_e019_1arc_v3.nw;POLYGON((18.99986111111111 -23.5,18.99986111111111 -22.99986111111111,19.5 -22.99986111111111,19.5 -23.5,18.99986111111111 -23.5))
