bytes,name,curve,compression,bittransposed
2670866,s22_e025_1arc_v3.se,Morton,BWT77,False
1650810,s22_e025_1arc_v3.se,Morton,BWTW,False
1223401,s22_e025_1arc_v3.se,Morton,BZIP2,False
1654940,s22_e025_1arc_v3.se,Morton,GZIP,False
5801627,s22_e025_1arc_v3.se,Morton,HFF,False
2608563,s22_e025_1arc_v3.se,Morton,LZ77,False
2159319,s22_e025_1arc_v3.se,Morton,LZO,False
1776967,s22_e025_1arc_v3.se,Morton,LZW,False
7560783,s22_e025_1arc_v3.se,Morton,RLE,False
6795486,s22_e025_1arc_v3.se,Raster,RLE,False
2630749,s22_e025_1arc_v3.sw,Raster,BWT77,False
1608328,s22_e025_1arc_v3.sw,Raster,BWTW,False
1207213,s22_e025_1arc_v3.sw,Raster,BZIP2,False
2849858,s22_e025_1arc_v3.sw,Gray,BWT77,False
1844856,s22_e025_1arc_v3.sw,Gray,BWTW,False
1368738,s22_e025_1arc_v3.sw,Gray,BZIP2,False
1799323,s22_e025_1arc_v3.sw,Gray,GZIP,False
5809786,s22_e025_1arc_v3.sw,Gray,HFF,False
2754733,s22_e025_1arc_v3.sw,Gray,LZ77,False
2342599,s22_e025_1arc_v3.sw,Gray,LZO,False
1910450,s22_e025_1arc_v3.sw,Gray,LZW,False
8120133,s22_e025_1arc_v3.sw,Gray,RLE,False
1823594,s22_e025_1arc_v3.sw,Raster,GZIP,False
2658644,s22_e025_1arc_v3.sw,Hilbert,BWT77,False
1650407,s22_e025_1arc_v3.sw,Hilbert,BWTW,False
1235626,s22_e025_1arc_v3.sw,Hilbert,BZIP2,False
1640482,s22_e025_1arc_v3.sw,Hilbert,GZIP,False
